programCode,programName,startDate,endDate,capacity,useYn,description
PRG00075,프로그램 00075,2024-03-16,2026-05-15,85,N,교육과정 설명 00075
PRG00076,프로그램 00076,2024-03-17,2025-10-16,86,Y,교육과정 설명 00076
PRG00077,프로그램 00077,2024-03-18,2026-05-17,87,Y,교육과정 설명 00077
PRG00078,프로그램 00078,2024-03-19,2025-10-14,88,Y,교육과정 설명 00078
PRG00079,프로그램 00079,2024-03-20,2026-05-19,89,Y,교육과정 설명 00079
PRG00080,프로그램 00080,2024-03-21,2025-10-12,90,N,교육과정 설명 00080
PRG00081,프로그램 00081,2024-03-22,2026-05-21,91,Y,교육과정 설명 00081
PRG00082,프로그램 00082,2024-03-23,2025-10-10,92,Y,교육과정 설명 00082
PRG00083,프로그램 00083,2024-03-24,2026-05-23,93,Y,교육과정 설명 00083
PRG00084,프로그램 00084,2024-03-25,2025-10-08,94,Y,교육과정 설명 00084
PRG00085,프로그램 00085,2024-03-26,2026-05-25,95,N,교육과정 설명 00085
PRG00086,프로그램 00086,2024-03-27,2025-10-06,96,Y,교육과정 설명 00086
PRG00087,프로그램 00087,2024-03-28,2026-05-27,97,Y,교육과정 설명 00087
PRG00088,프로그램 00088,2024-03-29,2025-10-04,98,Y,교육과정 설명 00088
PRG00089,프로그램 00089,2024-03-30,2026-05-29,99,Y,교육과정 설명 00089
PRG00090,프로그램 00090,2024-03-31,2025-10-02,100,N,교육과정 설명 00090
PRG00091,프로그램 00091,2024-04-01,2026-05-31,101,Y,교육과정 설명 00091
PRG00092,프로그램 00092,2024-04-02,2025-09-30,102,Y,교육과정 설명 00092
PRG00093,프로그램 00093,2024-04-03,2026-06-02,103,Y,교육과정 설명 00093
PRG00094,프로그램 00094,2024-04-04,2025-09-28,104,Y,교육과정 설명 00094
PRG00095,프로그램 00095,2024-04-05,2026-06-04,105,N,교육과정 설명 00095
PRG00096,프로그램 00096,2024-04-06,2025-09-26,106,Y,교육과정 설명 00096
PRG00097,프로그램 00097,2024-04-07,2026-06-06,107,Y,교육과정 설명 00097
PRG00098,프로그램 00098,2024-04-08,2025-09-24,108,Y,교육과정 설명 00098
PRG00099,프로그램 00099,2024-04-09,2026-06-08,109,Y,교육과정 설명 00099
PRG00100,프로그램 00100,2024-04-10,2025-09-22,110,N,교육과정 설명 00100
PRG00101,프로그램 00101,2024-04-11,2026-06-10,111,Y,교육과정 설명 00101
PRG00102,프로그램 00102,2024-04-12,2025-09-20,112,Y,교육과정 설명 00102
PRG00103,프로그램 00103,2024-04-13,2026-06-12,113,Y,교육과정 설명 00103
PRG00104,프로그램 00104,2024-04-14,2025-09-18,114,Y,교육과정 설명 00104
PRG00105,프로그램 00105,2024-04-15,2026-06-14,115,N,교육과정 설명 00105
PRG00106,프로그램 00106,2024-04-16,2025-09-16,116,Y,교육과정 설명 00106
PRG00107,프로그램 00107,2024-04-17,2026-06-16,117,Y,교육과정 설명 00107
PRG00108,프로그램 00108,2024-04-18,2025-09-14,118,Y,교육과정 설명 00108
PRG00109,프로그램 00109,2024-04-19,2026-06-18,119,Y,교육과정 설명 00109
PRG00110,프로그램 00110,2024-04-20,2025-09-12,120,N,교육과정 설명 00110
PRG00111,프로그램 00111,2024-04-21,2026-06-20,121,Y,교육과정 설명 00111
PRG00112,프로그램 00112,2024-04-22,2025-09-10,122,Y,교육과정 설명 00112
PRG00113,프로그램 00113,2024-04-23,2026-06-22,123,Y,교육과정 설명 00113
PRG00114,프로그램 00114,2024-04-24,2025-09-08,124,Y,교육과정 설명 00114
PRG00115,프로그램 00115,2024-04-25,2026-06-24,125,N,교육과정 설명 00115
PRG00116,프로그램 00116,2024-04-26,2025-09-06,126,Y,교육과정 설명 00116
PRG00117,프로그램 00117,2024-04-27,2026-06-26,127,Y,교육과정 설명 00117
PRG00118,프로그램 00118,2024-04-28,2025-09-04,128,Y,교육과정 설명 00118
PRG00119,프로그램 00119,2024-04-29,2026-06-28,129,Y,교육과정 설명 00119
PRG00120,프로그램 00120,2024-04-30,2025-09-02,130,N,교육과정 설명 00120
PRG00121,프로그램 00121,2024-05-01,2026-06-30,131,Y,교육과정 설명 00121
PRG00122,프로그램 00122,2024-05-02,2025-08-31,132,Y,교육과정 설명 00122
PRG00123,프로그램 00123,2024-05-03,2026-07-02,133,Y,교육과정 설명 00123
PRG00124,프로그램 00124,2024-05-04,2025-08-29,134,Y,교육과정 설명 00124
PRG00125,프로그램 00125,2024-05-05,2026-07-04,135,N,교육과정 설명 00125
PRG00126,프로그램 00126,2024-05-06,2025-08-27,136,Y,교육과정 설명 00126
PRG00127,프로그램 00127,2024-05-07,2026-07-06,137,Y,교육과정 설명 00127
PRG00128,프로그램 00128,2024-05-08,2025-08-25,138,Y,교육과정 설명 00128
PRG00129,프로그램 00129,2024-05-09,2026-07-08,139,Y,교육과정 설명 00129
PRG00130,프로그램 00130,2024-05-10,2025-08-23,140,N,교육과정 설명 00130
PRG00131,프로그램 00131,2024-05-11,2026-07-10,141,Y,교육과정 설명 00131
PRG00132,프로그램 00132,2024-05-12,2025-08-21,142,Y,교육과정 설명 00132
PRG00133,프로그램 00133,2024-05-13,2026-07-12,143,Y,교육과정 설명 00133
PRG00134,프로그램 00134,2024-05-14,2025-08-19,144,Y,교육과정 설명 00134
PRG00135,프로그램 00135,2024-05-15,2026-07-14,145,N,교육과정 설명 00135
PRG00136,프로그램 00136,2024-05-16,2025-08-17,146,Y,교육과정 설명 00136
PRG00137,프로그램 00137,2024-05-17,2026-07-16,147,Y,교육과정 설명 00137
PRG00138,프로그램 00138,2024-05-18,2025-08-15,148,Y,교육과정 설명 00138
PRG00139,프로그램 00139,2024-05-19,2026-07-18,149,Y,교육과정 설명 00139
PRG00140,프로그램 00140,2024-05-20,2025-08-13,150,N,교육과정 설명 00140
PRG00141,프로그램 00141,2024-05-21,2026-07-20,151,Y,교육과정 설명 00141
PRG00142,프로그램 00142,2024-05-22,2025-08-11,152,Y,교육과정 설명 00142
PRG00143,프로그램 00143,2024-05-23,2026-07-22,153,Y,교육과정 설명 00143
PRG00144,프로그램 00144,2024-05-24,2025-08-09,154,Y,교육과정 설명 00144
PRG00145,프로그램 00145,2024-05-25,2026-07-24,155,N,교육과정 설명 00145
PRG00146,프로그램 00146,2024-05-26,2025-08-07,156,Y,교육과정 설명 00146
PRG00147,프로그램 00147,2024-05-27,2026-07-26,157,Y,교육과정 설명 00147
PRG00148,프로그램 00148,2024-05-28,2025-08-05,158,Y,교육과정 설명 00148
PRG00149,프로그램 00149,2024-05-29,2026-07-28,159,Y,교육과정 설명 00149
PRG00150,프로그램 00150,2024-05-30,2025-08-03,160,N,교육과정 설명 00150
PRG00151,프로그램 00151,2024-05-31,2026-07-30,161,Y,교육과정 설명 00151
PRG00152,프로그램 00152,2024-06-01,2025-08-01,162,Y,교육과정 설명 00152
PRG00153,프로그램 00153,2024-06-02,2026-08-01,163,Y,교육과정 설명 00153
PRG00154,프로그램 00154,2024-06-03,2025-07-30,164,Y,교육과정 설명 00154
PRG00155,프로그램 00155,2024-06-04,2026-08-03,165,N,교육과정 설명 00155
PRG00156,프로그램 00156,2024-06-05,2025-07-28,166,Y,교육과정 설명 00156
PRG00157,프로그램 00157,2024-06-06,2026-08-05,167,Y,교육과정 설명 00157
PRG00158,프로그램 00158,2024-06-07,2025-07-26,168,Y,교육과정 설명 00158
PRG00159,프로그램 00159,2024-06-08,2026-08-07,169,Y,교육과정 설명 00159
PRG00160,프로그램 00160,2024-06-09,2025-07-24,170,N,교육과정 설명 00160
PRG00161,프로그램 00161,2024-06-10,2026-08-09,171,Y,교육과정 설명 00161
PRG00162,프로그램 00162,2024-06-11,2025-07-22,172,Y,교육과정 설명 00162
PRG00163,프로그램 00163,2024-06-12,2026-08-11,173,Y,교육과정 설명 00163
PRG00164,프로그램 00164,2024-06-13,2025-07-20,174,Y,교육과정 설명 00164
PRG00165,프로그램 00165,2024-06-14,2026-08-13,175,N,교육과정 설명 00165
PRG00166,프로그램 00166,2024-06-15,2025-07-18,176,Y,교육과정 설명 00166
PRG00167,프로그램 00167,2024-06-16,2026-08-15,177,Y,교육과정 설명 00167
PRG00168,프로그램 00168,2024-06-17,2025-07-16,178,Y,교육과정 설명 00168
PRG00169,프로그램 00169,2024-06-18,2026-08-17,179,Y,교육과정 설명 00169
PRG00170,프로그램 00170,2024-06-19,2025-07-14,180,N,교육과정 설명 00170
PRG00171,프로그램 00171,2024-06-20,2026-08-19,181,Y,교육과정 설명 00171
PRG00172,프로그램 00172,2024-06-21,2025-07-12,182,Y,교육과정 설명 00172
PRG00173,프로그램 00173,2024-06-22,2026-08-21,183,Y,교육과정 설명 00173
PRG00174,프로그램 00174,2024-06-23,2025-07-10,184,Y,교육과정 설명 00174
PRG00175,프로그램 00175,2024-06-24,2026-08-23,185,N,교육과정 설명 00175
PRG00176,프로그램 00176,2024-06-25,2025-07-08,186,Y,교육과정 설명 00176
PRG00177,프로그램 00177,2024-06-26,2026-08-25,187,Y,교육과정 설명 00177
PRG00178,프로그램 00178,2024-06-27,2025-07-06,188,Y,교육과정 설명 00178
PRG00179,프로그램 00179,2024-06-28,2026-08-27,189,Y,교육과정 설명 00179
PRG00180,프로그램 00180,2024-06-29,2025-07-04,190,N,교육과정 설명 00180
PRG00181,프로그램 00181,2024-06-30,2026-08-29,191,Y,교육과정 설명 00181
PRG00182,프로그램 00182,2024-07-01,2025-07-02,192,Y,교육과정 설명 00182
PRG00183,프로그램 00183,2024-07-02,2026-08-31,193,Y,교육과정 설명 00183
PRG00184,프로그램 00184,2024-07-03,2025-06-30,194,Y,교육과정 설명 00184
PRG00185,프로그램 00185,2024-07-04,2026-09-02,195,N,교육과정 설명 00185
PRG00186,프로그램 00186,2024-07-05,2025-06-28,196,Y,교육과정 설명 00186
PRG00187,프로그램 00187,2024-07-06,2026-09-04,197,Y,교육과정 설명 00187
PRG00188,프로그램 00188,2024-07-07,2025-06-26,198,Y,교육과정 설명 00188
PRG00189,프로그램 00189,2024-07-08,2026-09-06,199,Y,교육과정 설명 00189
PRG00190,프로그램 00190,2024-07-09,2025-06-24,200,N,교육과정 설명 00190
PRG00191,프로그램 00191,2024-07-10,2026-09-08,201,Y,교육과정 설명 00191
PRG00192,프로그램 00192,2024-07-11,2025-06-22,202,Y,교육과정 설명 00192
PRG00193,프로그램 00193,2024-07-12,2026-09-10,203,Y,교육과정 설명 00193
PRG00194,프로그램 00194,2024-07-13,2025-06-20,204,Y,교육과정 설명 00194
PRG00195,프로그램 00195,2024-07-14,2026-09-12,205,N,교육과정 설명 00195
PRG00196,프로그램 00196,2024-07-15,2025-06-18,206,Y,교육과정 설명 00196
PRG00197,프로그램 00197,2024-07-16,2026-09-14,207,Y,교육과정 설명 00197
PRG00198,프로그램 00198,2024-07-17,2025-06-16,208,Y,교육과정 설명 00198
PRG00199,프로그램 00199,2024-07-18,2026-09-16,209,Y,교육과정 설명 00199
PRG00200,프로그램 00200,2024-07-19,2025-06-14,210,N,교육과정 설명 00200
PRG00201,프로그램 00201,2024-07-20,2026-09-18,211,Y,교육과정 설명 00201
PRG00202,프로그램 00202,2024-07-21,2025-06-12,212,Y,교육과정 설명 00202
PRG00203,프로그램 00203,2024-07-22,2026-09-20,213,Y,교육과정 설명 00203
PRG00204,프로그램 00204,2024-07-23,2025-06-10,214,Y,교육과정 설명 00204
PRG00205,프로그램 00205,2024-07-24,2026-09-22,215,N,교육과정 설명 00205
PRG00206,프로그램 00206,2024-07-25,2025-06-08,216,Y,교육과정 설명 00206
PRG00207,프로그램 00207,2024-07-26,2026-09-24,217,Y,교육과정 설명 00207
PRG00208,프로그램 00208,2024-07-27,2025-06-06,218,Y,교육과정 설명 00208
PRG00209,프로그램 00209,2024-07-28,2026-09-26,219,Y,교육과정 설명 00209
PRG00210,프로그램 00210,2024-07-29,2025-06-04,220,N,교육과정 설명 00210
PRG00211,프로그램 00211,2024-07-30,2026-09-28,221,Y,교육과정 설명 00211
PRG00212,프로그램 00212,2024-07-31,2025-06-02,222,Y,교육과정 설명 00212
PRG00213,프로그램 00213,2024-08-01,2026-09-30,223,Y,교육과정 설명 00213
PRG00214,프로그램 00214,2024-08-02,2025-05-31,224,Y,교육과정 설명 00214
PRG00215,프로그램 00215,2024-08-03,2026-10-02,225,N,교육과정 설명 00215
PRG00216,프로그램 00216,2024-08-04,2025-05-29,226,Y,교육과정 설명 00216
PRG00217,프로그램 00217,2024-08-05,2026-10-04,227,Y,교육과정 설명 00217
PRG00218,프로그램 00218,2024-08-06,2025-05-27,228,Y,교육과정 설명 00218
PRG00219,프로그램 00219,2024-08-07,2026-10-06,229,Y,교육과정 설명 00219
PRG00220,프로그램 00220,2024-08-08,2025-05-25,230,N,교육과정 설명 00220
PRG00221,프로그램 00221,2024-08-09,2026-10-08,231,Y,교육과정 설명 00221
PRG00222,프로그램 00222,2024-08-10,2025-05-23,232,Y,교육과정 설명 00222
PRG00223,프로그램 00223,2024-08-11,2026-10-10,233,Y,교육과정 설명 00223
PRG00224,프로그램 00224,2024-08-12,2025-05-21,234,Y,교육과정 설명 00224
PRG00225,프로그램 00225,2024-08-13,2026-10-12,235,N,교육과정 설명 00225
PRG00226,프로그램 00226,2024-08-14,2025-05-19,236,Y,교육과정 설명 00226
PRG00227,프로그램 00227,2024-08-15,2026-10-14,237,Y,교육과정 설명 00227
PRG00228,프로그램 00228,2024-08-16,2025-05-17,238,Y,교육과정 설명 00228
PRG00229,프로그램 00229,2024-08-17,2026-10-16,239,Y,교육과정 설명 00229
PRG00230,프로그램 00230,2024-08-18,2025-05-15,240,N,교육과정 설명 00230
PRG00231,프로그램 00231,2024-08-19,2026-10-18,241,Y,교육과정 설명 00231
PRG00232,프로그램 00232,2024-08-20,2025-05-13,242,Y,교육과정 설명 00232
PRG00233,프로그램 00233,2024-08-21,2026-10-20,243,Y,교육과정 설명 00233
PRG00234,프로그램 00234,2024-08-22,2025-05-11,244,Y,교육과정 설명 00234
PRG00235,프로그램 00235,2024-08-23,2026-10-22,245,N,교육과정 설명 00235
PRG00236,프로그램 00236,2024-08-24,2025-05-09,246,Y,교육과정 설명 00236
PRG00237,프로그램 00237,2024-08-25,2026-10-24,247,Y,교육과정 설명 00237
PRG00238,프로그램 00238,2024-08-26,2025-05-07,248,Y,교육과정 설명 00238
PRG00239,프로그램 00239,2024-08-27,2026-10-26,249,Y,교육과정 설명 00239
PRG00240,프로그램 00240,2024-08-28,2025-05-05,250,N,교육과정 설명 00240
PRG00241,프로그램 00241,2024-08-29,2026-10-28,251,Y,교육과정 설명 00241
PRG00242,프로그램 00242,2024-08-30,2025-05-03,252,Y,교육과정 설명 00242
PRG00243,프로그램 00243,2024-08-31,2026-10-30,253,Y,교육과정 설명 00243
PRG00244,프로그램 00244,2024-09-01,2025-05-01,254,Y,교육과정 설명 00244
PRG00245,프로그램 00245,2024-09-02,2026-11-01,255,N,교육과정 설명 00245
PRG00246,프로그램 00246,2024-09-03,2025-04-29,256,Y,교육과정 설명 00246
PRG00247,프로그램 00247,2024-09-04,2026-11-03,257,Y,교육과정 설명 00247
PRG00248,프로그램 00248,2024-09-05,2025-04-27,258,Y,교육과정 설명 00248
PRG00249,프로그램 00249,2024-09-06,2026-11-05,259,Y,교육과정 설명 00249
PRG00250,프로그램 00250,2024-09-07,2025-04-25,260,N,교육과정 설명 00250
PRG00251,프로그램 00251,2024-09-08,2026-11-07,261,Y,교육과정 설명 00251
PRG00252,프로그램 00252,2024-09-09,2025-04-23,262,Y,교육과정 설명 00252
PRG00253,프로그램 00253,2024-09-10,2026-11-09,263,Y,교육과정 설명 00253
PRG00254,프로그램 00254,2024-09-11,2025-04-21,264,Y,교육과정 설명 00254
PRG00255,프로그램 00255,2024-09-12,2026-11-11,265,N,교육과정 설명 00255
PRG00256,프로그램 00256,2024-09-13,2025-04-19,266,Y,교육과정 설명 00256
PRG00257,프로그램 00257,2024-09-14,2026-11-13,267,Y,교육과정 설명 00257
PRG00258,프로그램 00258,2024-09-15,2025-04-17,268,Y,교육과정 설명 00258
PRG00259,프로그램 00259,2024-09-16,2026-11-15,269,Y,교육과정 설명 00259
PRG00260,프로그램 00260,2024-09-17,2025-04-15,270,N,교육과정 설명 00260
PRG00261,프로그램 00261,2024-09-18,2026-11-17,271,Y,교육과정 설명 00261
PRG00262,프로그램 00262,2024-09-19,2025-04-13,272,Y,교육과정 설명 00262
PRG00263,프로그램 00263,2024-09-20,2026-11-19,273,Y,교육과정 설명 00263
PRG00264,프로그램 00264,2024-09-21,2025-04-11,274,Y,교육과정 설명 00264
PRG00265,프로그램 00265,2024-09-22,2026-11-21,275,N,교육과정 설명 00265
PRG00266,프로그램 00266,2024-09-23,2025-04-09,276,Y,교육과정 설명 00266
PRG00267,프로그램 00267,2024-09-24,2026-11-23,277,Y,교육과정 설명 00267
PRG00268,프로그램 00268,2024-09-25,2025-04-07,278,Y,교육과정 설명 00268
PRG00269,프로그램 00269,2024-09-26,2026-11-25,279,Y,교육과정 설명 00269
PRG00270,프로그램 00270,2024-09-27,2025-04-05,280,N,교육과정 설명 00270
PRG00271,프로그램 00271,2024-09-28,2026-11-27,281,Y,교육과정 설명 00271
PRG00272,프로그램 00272,2024-09-29,2025-04-03,282,Y,교육과정 설명 00272
PRG00273,프로그램 00273,2024-09-30,2026-11-29,283,Y,교육과정 설명 00273
PRG00274,프로그램 00274,2024-10-01,2025-04-01,284,Y,교육과정 설명 00274
PRG00275,프로그램 00275,2024-10-02,2026-12-01,285,N,교육과정 설명 00275
PRG00276,프로그램 00276,2024-10-03,2025-03-30,286,Y,교육과정 설명 00276
PRG00277,프로그램 00277,2024-10-04,2026-12-03,287,Y,교육과정 설명 00277
PRG00278,프로그램 00278,2024-10-05,2025-03-28,288,Y,교육과정 설명 00278
PRG00279,프로그램 00279,2024-10-06,2026-12-05,289,Y,교육과정 설명 00279
PRG00280,프로그램 00280,2024-10-07,2025-03-26,290,N,교육과정 설명 00280
PRG00281,프로그램 00281,2024-10-08,2026-12-07,291,Y,교육과정 설명 00281
PRG00282,프로그램 00282,2024-10-09,2025-03-24,292,Y,교육과정 설명 00282
PRG00283,프로그램 00283,2024-10-10,2026-12-09,293,Y,교육과정 설명 00283
PRG00284,프로그램 00284,2024-10-11,2025-03-22,294,Y,교육과정 설명 00284
PRG00285,프로그램 00285,2024-10-12,2026-12-11,295,N,교육과정 설명 00285
PRG00286,프로그램 00286,2024-10-13,2025-03-20,296,Y,교육과정 설명 00286
PRG00287,프로그램 00287,2024-10-14,2026-12-13,297,Y,교육과정 설명 00287
PRG00288,프로그램 00288,2024-10-15,2025-03-18,298,Y,교육과정 설명 00288
PRG00289,프로그램 00289,2024-10-16,2026-12-15,299,Y,교육과정 설명 00289
PRG00290,프로그램 00290,2024-10-17,2025-03-16,300,N,교육과정 설명 00290
PRG00291,프로그램 00291,2024-10-18,2026-12-17,10,Y,교육과정 설명 00291
PRG00292,프로그램 00292,2024-10-19,2025-03-14,11,Y,교육과정 설명 00292
PRG00293,프로그램 00293,2024-10-20,2026-12-19,12,Y,교육과정 설명 00293
PRG00294,프로그램 00294,2024-10-21,2025-03-12,13,Y,교육과정 설명 00294
PRG00295,프로그램 00295,2024-10-22,2026-12-21,14,N,교육과정 설명 00295
PRG00296,프로그램 00296,2024-10-23,2025-03-10,15,Y,교육과정 설명 00296
PRG00297,프로그램 00297,2024-10-24,2026-12-23,16,Y,교육과정 설명 00297
PRG00298,프로그램 00298,2024-10-25,2025-03-08,17,Y,교육과정 설명 00298
PRG00299,프로그램 00299,2024-10-26,2026-12-25,18,Y,교육과정 설명 00299
PRG00300,프로그램 00300,2024-10-27,2025-03-06,19,N,교육과정 설명 00300
PRG00301,프로그램 00301,2024-10-28,2026-12-27,20,Y,교육과정 설명 00301
PRG00302,프로그램 00302,2024-10-29,2025-03-04,21,Y,교육과정 설명 00302
PRG00303,프로그램 00303,2024-10-30,2026-12-29,22,Y,교육과정 설명 00303
PRG00304,프로그램 00304,2024-10-31,2025-03-02,23,Y,교육과정 설명 00304
PRG00305,프로그램 00305,2024-11-01,2026-12-31,24,N,교육과정 설명 00305
PRG00306,프로그램 00306,2024-11-02,2025-02-28,25,Y,교육과정 설명 00306
PRG00307,프로그램 00307,2024-11-03,2027-01-02,26,Y,교육과정 설명 00307
PRG00308,프로그램 00308,2024-11-04,2025-02-26,27,Y,교육과정 설명 00308
PRG00309,프로그램 00309,2024-11-05,2027-01-04,28,Y,교육과정 설명 00309
PRG00310,프로그램 00310,2024-11-06,2025-02-24,29,N,교육과정 설명 00310
PRG00311,프로그램 00311,2024-11-07,2027-01-06,30,Y,교육과정 설명 00311
PRG00312,프로그램 00312,2024-11-08,2025-02-22,31,Y,교육과정 설명 00312
PRG00313,프로그램 00313,2024-11-09,2027-01-08,32,Y,교육과정 설명 00313
PRG00314,프로그램 00314,2024-11-10,2025-02-20,33,Y,교육과정 설명 00314
PRG00315,프로그램 00315,2024-11-11,2027-01-10,34,N,교육과정 설명 00315
PRG00316,프로그램 00316,2024-11-12,2025-02-18,35,Y,교육과정 설명 00316
PRG00317,프로그램 00317,2024-11-13,2027-01-12,36,Y,교육과정 설명 00317
PRG00318,프로그램 00318,2024-11-14,2025-02-16,37,Y,교육과정 설명 00318
